cell_som_cluster,pixel_meta_cluster_rename_CD14,pixel_meta_cluster_rename_CD163,pixel_meta_cluster_rename_CD20,pixel_meta_cluster_rename_CD3,pixel_meta_cluster_rename_CD31,pixel_meta_cluster_rename_CD3_CD4_CD45,pixel_meta_cluster_rename_CD3_CD8_CD45,pixel_meta_cluster_rename_CD68,pixel_meta_cluster_rename_CK17,pixel_meta_cluster_rename_ECAD,pixel_meta_cluster_rename_HLADR,pixel_meta_cluster_rename_SMA,pixel_meta_cluster_rename_VIM,pixel_meta_cluster_rename_noise,pixel_meta_cluster_rename_stroma,count,cell_meta_cluster,cell_meta_cluster_rename
11,0.001265619313947,0.0051019959441518,0.0825193240406785,0.0175577666498879,5.376975910665178e-05,0.886073510653151,0.0050631839262053,0.0025191878805083,0.0006003453198658,8.145693041526374e-05,0.001857537648028,0.0001742333731581,0.000647805639137,0.0005575155520272,0.0009483366793135,144,21,CD4T
12,0.0059745353158266,0.008250438671292,0.0118358705776209,0.1424366090076236,0.0032324092537462,0.8515824941761787,0.0113175279693542,0.0042629973284014,0.0026394510542156,0.0006345194047554,0.0018555146700814,0.0013584393657143,0.0017648403450255,0.0020514584141719,0.0028792881451857,243,21,CD4T
13,0.0520068796912487,0.1076311304919942,0.0123953758941051,0.0129377636537281,0.0045054658302443,0.6895645941053588,0.0056124009179656,0.0191247697869095,0.0003562358131205,0.0130508410591074,0.0133095980831829,0.0091226934348674,0.017263743906024,0.0139542284798292,0.042449876027136,241,21,CD4T
14,0.0124599877806535,0.0236948392458397,0.0282140242896017,0.0888377151543088,0.016803706176808,0.602439974144635,0.1302906118622185,0.0204059100381414,0.0034875903635685,0.0001006339941632,0.0218325358025023,0.0097606256978052,0.0297675839956372,0.015877096973388,0.0185668978932892,38,21,CD4T
15,0.0261074089279214,0.027555929447709,0.095104812149081,0.098692734685514,0.0080974666936266,0.3681538294208628,0.2881248837710803,0.0147500682228045,0.0081975899615804,0.0049881223712349,0.0201083523465477,0.0114885531582438,0.0209187267227348,0.0108757413740052,0.0238639088886361,125,2,CD8T
16,0.0095445196657447,0.0232938682808426,0.0774784513145093,0.2045688079975717,0.0046884515122077,0.1788153444596525,0.5175069161819842,0.0085717447517856,0.0028577629877905,0.000179609459484,0.016968251875651,0.0032216619624718,0.0084855858847007,0.0050315855919246,0.0079571100026314,113,2,CD8T
17,0.0126092761246192,0.0387841095170625,0.1055026389912361,0.0043052032707484,0.0054759337572233,0.0483350599374362,0.6463361072353536,0.0141180126174987,0.0015498589580261,0.005752491415854,0.082248409613645,0.008037429422713,0.0172128874264908,0.0143366360570833,0.0049489908877203,73,2,CD8T
18,0.08487606146831,0.0439444728253329,0.0203059489191231,0.0288314056240949,0.01192169510259,0.0776605244884618,0.40266007046426,0.0557076454575986,0.0130850762881061,0.0188202705227865,0.0295143143755618,0.0418743572516958,0.0770222799225838,0.0445795174038234,0.0573606398058739,79,2,CD8T
19,0.0632994858379552,0.0122320807826022,0.0103395693435608,0.0226596166999861,0.018608257207034,0.0820954227666382,0.0169379935125276,0.0267809603730781,0.0152819923892175,0.0267698688500179,0.0158236366695201,0.0438293749273228,0.1750326250144919,0.0879886711209434,0.3575853444107665,100,29,stroma
20,0.0115047178780529,0.0008513203533217,0.0016821355236139,0.0040203605012667,0.0101140592427007,0.0092788591608429,0.0062698481236175,0.0010598675485859,0.0075937362591271,0.004745526854408,0.0009846840905926,0.160547146223486,0.2678456462003715,0.0122397337059326,0.505765621031238,100,29,stroma
