cell_som_cluster,CD3,CD4,CD8,CD14,CD20,CD31,CD45,CD68,CD163_nuc_exclude,CK17,Collagen1,Fibronectin,ECAD_smoothed,HLADR,SMA,Vim,cell_meta_cluster,cell_meta_cluster_rename
19,0.0954928656560619,0.1116553670398868,0.0431312305172257,0.0939354740248001,0.0370536544980874,0.0288499193608021,0.1205445358587391,0.0534941830215311,0.0546859134935232,0.0359156630595103,0.2851399381729635,0.1867845876816699,0.1324533050118972,0.0679567487483572,0.0597960966062248,0.16194302403713,29,stroma
20,0.0571296560927807,0.0658541064789796,0.0354682121491425,0.0596832190930926,0.0240863575142974,0.0247298040795539,0.0716914533817965,0.0318930590656019,0.0381389890167236,0.0321901410635242,0.3876594486739504,0.2584415584604936,0.1223337319380784,0.0343305811995004,0.1213668686218769,0.2060376635050944,29,stroma
21,0.3445691019965201,0.4009259878404618,0.0531735156657366,0.0746613857843549,0.1661504434988122,0.0256215760125941,0.4496296734891105,0.0565442509608994,0.0466060986312379,0.0367895350723587,0.0628034429941408,0.0463453332307646,0.0615335142917313,0.1074096997964405,0.0241204697996548,0.1009331132845477,21,CD4T
22,0.372133902128307,0.3859353150145497,0.0549155289395079,0.0743678140682758,0.1419246182275964,0.0253691313172689,0.4185160666386692,0.0551211958541205,0.0449166849015072,0.0395937211381812,0.0654952805857805,0.0504056168343532,0.0668865609663789,0.0975892854607389,0.0284858281808051,0.1050699167649507,21,CD4T
23,0.4400445040354361,0.3876068514562718,0.0672497737947616,0.0763697559297769,0.097052715913801,0.029357493791075,0.3882788523123064,0.0591986907695078,0.0423561974853592,0.0423412219361862,0.0718310736542986,0.0565999930373437,0.0697663269930818,0.08584989235125,0.0281106788706522,0.1035939883244203,30,immune_other
24,0.2637603431684529,0.309236750904998,0.0486637187870773,0.0938977695604405,0.0687622567746605,0.0281811895749358,0.3024442499212194,0.0563227653538726,0.0621285739990069,0.0346918173738867,0.1763536451748674,0.1169937719151988,0.0864680841560251,0.0794492036542981,0.045076619834287,0.118078174677068,31,other
25,0.2643557216100808,0.2775254075874868,0.1285412157535243,0.1086481209330235,0.0813295659249178,0.0281977534030862,0.3191232470190985,0.0604799795427846,0.073715753471303,0.0345038029974476,0.1112951339061228,0.0779396627504619,0.0773971103426275,0.137582017205793,0.0338754759283387,0.1079709298288355,31,other
26,0.2618541740698837,0.2897377630336636,0.1659660347959532,0.0987436561902696,0.0884987003670562,0.0245158998235706,0.350172773570521,0.0549126804952522,0.0610627555003005,0.0297565863919589,0.0741007596897772,0.0545690264306836,0.0665783521189819,0.3056246779911687,0.020801223939377,0.0982507786412017,7,APC
27,0.2245895623242536,0.2352754679278059,0.2340195601493659,0.0984233653897551,0.0650070115303,0.0178905055940278,0.3172084900187545,0.0530707798552426,0.0702852431915135,0.0268117673616164,0.0831007268932892,0.060161484462115,0.0670800119592896,0.3697280429468323,0.0198716140829259,0.0953703457646988,7,APC
28,0.1402675807981708,0.1820376515215638,0.0967941619557157,0.0760658938381916,0.0501933970831392,0.0182849976508226,0.2063499514190349,0.0485974758883015,0.0576435726445081,0.0277839847437345,0.1950214509551632,0.1307267436841942,0.1057810731037583,0.2792409771753681,0.0312984775342543,0.1514243442080509,7,APC
29,0.0962316259591264,0.111239057891355,0.0516016189481183,0.0908929675989566,0.0445546172646207,0.0479557688985061,0.1245824007306842,0.0505426439711263,0.056093188391246,0.0370943088686701,0.1837210915085955,0.1490965782239897,0.1488122646447742,0.0654654046705631,0.1020992519632016,0.2761427274812961,29,stroma
30,0.061165612198218,0.0681413774390789,0.0380123232267175,0.057840717640306,0.0270393251330062,0.0306688071873762,0.0714404576972772,0.034713281927763,0.0390301135282081,0.0390630374625673,0.2868443614626959,0.2113613819499737,0.1640805524171187,0.0381880970337122,0.0785323725493668,0.3214739342268993,29,stroma
31,0.3089864134270093,0.3540661126113865,0.0546510922167317,0.0735549973109916,0.2222083744083194,0.0267169927854577,0.4550530568376958,0.0549957086912469,0.0425550138473159,0.0375836120448332,0.059575454020763,0.0436428639417662,0.0599514477122273,0.1218438424891176,0.0239992182683697,0.1011441151208054,21,CD4T
32,0.3162092098667905,0.3359325867082619,0.0559656382978507,0.0768868388026018,0.1800178104375878,0.0298222878023556,0.4071841295373009,0.0599207136871319,0.0477654850623322,0.0392625207971941,0.0681066553683721,0.0518896961442554,0.0718253082332376,0.1193180237689113,0.0269274056491581,0.1112493461110507,21,CD4T
