pixel_meta_cluster,CD3,CD4,CD8a,CD11b,CD14,CD16,CD20,CD44,CD45,CD45RO,CD68,CD107a,CD163,CD366,Pan-keratin,FOXP3,E-Cadherin,HLA-DR-DQ-DP,Beta-Catenin,B7-H4,Granzyme-B,Alpha-SMA,Vimentin,CD31,count,pixel_meta_cluster_rename
21,0.2080964157805056,0.37289313815772523,0.16268519466640685,0.40110069734267684,0.45926308062997306,0.4753494081258585,0.076924091361344,0.1944370764030872,0.2474513770178083,0.15021530782992315,0.2833953623604496,0.21283433918533326,0.33980144513463323,0.3441792615187308,0.1929349343664705,0.2625412526713013,0.18463456652014354,0.2027730440516557,0.36863542922608583,0.3478047040554382,0.23928722119738177,0.0808597897736791,0.18140845757258864,0.22740319417726948,957575,CD16
22,0.281018813725842,0.28111653545531057,0.2948670158039601,0.2837139459306326,0.21166038838534743,0.16336945529716554,0.19810036103181103,0.14410984534560603,0.2211099978712279,0.7253119872679963,0.17896691225284694,0.14479920233346347,0.13489735599598413,0.23116204879302804,0.2805403146082948,0.37955118318876196,0.3310564479722179,0.14812196562892924,0.286149690993601,0.2966603166409172,0.3037758162953216,0.11257269578158002,0.14655368019339493,0.2868242233160801,1840714,CD45RO
23,0.7226826265469738,0.3654008366218637,0.26989247001515554,0.3283637609075137,0.33397579778710695,0.3065389335990027,0.22545942985729547,0.17286912575786187,0.2866716021309258,0.2307307385258179,0.22079056655089782,0.21032751418887324,0.3268359495659401,0.25439601219895147,0.19337302005015336,0.2855373085023037,0.12079306612102939,0.08038675028472032,0.26821031045890775,0.33963034314152046,0.19368035775369247,0.08166501004108065,0.09848054193299079,0.1588494233351819,930723,CD3
24,0.24108739023556394,0.29843916237612245,0.28399857131111333,0.6244378597744653,0.25041091812911626,0.19063006015618086,0.1434195299425711,0.18124776023553543,0.4450418236779976,0.4194874980229491,0.4610156343738125,0.17726770067253758,0.17167906665916663,0.254026073595214,0.16903793763409944,0.1911889316331259,0.14665059115580267,0.13493545296372145,0.2091754619328934,0.31515631694926555,0.45872320234649794,0.07683042570386979,0.18223396446516185,0.23339596438971272,478153,CD68 + CD11b + CD45 + CD45RO + GzmB
25,0.41959193011395995,0.28949859144027945,0.5602807652978312,0.28362158028838874,0.24189738336753955,0.19813960009203663,0.17140696420524243,0.26391603910662353,0.4590841152520075,0.34688554905501884,0.22330054881699968,0.19685098688335137,0.16492113094358427,0.31294903066392565,0.12428710808999544,0.21016327898674955,0.15088352122699747,0.22156766025617833,0.2271076309320747,0.25251244273222884,0.2830522263587235,0.11026221968080381,0.2398559265605847,0.21532444082074742,2884457,CD8a
26,0.24614371069346064,0.28845648175033595,0.25650416686303823,0.3456310251244312,0.236081730644934,0.14006258331881588,0.1346184306353922,0.15993129578104012,0.21240397197478356,0.16850558082910422,0.1331300160387177,0.2316775328193908,0.131319228940815,0.3328529217344762,0.3163300562870674,0.2448418847312838,0.47200524142010375,0.14607894615119776,0.42195984767886546,0.38490181964837883,0.3258097885677279,0.37084902894037236,0.2107401415357542,0.24731248895594393,1498807,ECad + aSMA
27,0.23374761631463178,0.24262350933197815,0.19060866960737133,0.39000851710076256,0.4147828825798149,0.3158079846646865,0.338147131582095,0.17085689613047164,0.9090653558484919,0.1226200995772513,0.277587429360363,0.1659843500906191,0.3707584704173268,0.22865319776825074,0.24937396710220425,0.22779664085000642,0.09912997399185647,0.07223289682727019,0.26448119753254135,0.22009920608418318,0.2950938736384505,0.06490331547433958,0.08082708252105628,0.14153138915626132,227413,CD45
28,0.32910740563008484,0.2891340824135675,0.20439959254850396,0.2907136300988641,0.29969389116256023,0.25405814890178974,0.2830488855449174,0.14606083963151878,0.2558876100605451,0.11933039755369418,0.16809399007000966,0.1579798740469438,0.23157220294438915,0.25485687522403566,0.3221256235590518,0.18716537342066722,0.11261510867142646,0.06435590761369166,1.2017409959913492,0.24407846718944706,0.21865699642127548,0.12396857051545186,0.11632897396324955,0.17319448409747706,182152,BetaCat
29,0.243446485474902,0.33338605215053396,0.25626829216134345,0.34075316665308414,0.3232882628045774,0.24159035551405508,0.15874921527766486,0.1940250479700573,0.2893432309617944,0.20709052650072637,0.23332788013516995,0.2217512868233153,0.229200342946442,0.36034628292322246,0.1253275850283713,0.23353515848802034,0.11998282943030414,0.15775265372894617,0.2746132772494093,0.27744619953423466,0.33415357116021205,0.34197936721378763,0.29634004817400394,0.30557322451846736,3793326,aSMA + Vim
30,0.27706524780277847,0.379123642682929,0.2543087436434449,0.3573301803363566,0.435219202540927,0.2247011159308175,0.19847313170903413,0.1689231140547653,0.2521336769286524,0.14456559713710138,0.1847700414245749,0.21697656631834872,0.21895330809804175,0.29761186839491405,0.3565824276810331,0.22360559687256085,0.1917828195952387,0.08151663793988469,0.3782553212442695,0.8581673941944589,0.1609579140413584,0.06388926866628025,0.08694520409181171,0.141371050316153,530523,B7H4
31,0.4576154534918746,0.5440771478082634,0.34739778232049867,0.5778823727269264,0.2828387528704638,0.2590630813693534,0.19429222947216193,0.16979569793075835,0.2343592761466497,0.14225459854853156,0.1823642900046688,0.14920898947151798,0.200645779424407,0.6479752378450087,0.09388850547370958,0.24720769555141042,0.09366053607922681,0.05884125036345141,0.28800416723823546,0.29071616256231914,0.25961168853685873,0.07461773616469392,0.16924770745377354,0.18588029566160516,465848,CD4 + CD366
32,0.17774031685585992,0.4153505725568897,0.17917631300192927,0.3048867524791584,0.38595393667580524,0.4078638772469798,0.14402254095454448,0.21606134062665394,0.36733172011819193,0.21614198161816026,0.5319092899081953,0.283682555113281,0.41647703831789074,0.2815534183182296,0.0963273464891707,0.19089852997682608,0.09467788687481536,0.4910451423416847,0.16862991466989208,0.25135420714180456,0.18269000943129143,0.06890465018342914,0.18714230455966185,0.21487545960683518,1815269,HLA + CD68
