pixel_som_cluster,CD3,CD4,CD8a,CD11b,CD14,CD16,CD20,CD44,CD45,CD45RO,CD68,CD107a,CD163,CD366,Pan-keratin,FOXP3,E-Cadherin,HLA-DR-DQ-DP,Beta-Catenin,B7-H4,Granzyme-B,Alpha-SMA,Vimentin,CD31,count,pixel_meta_cluster,pixel_meta_cluster_rename
31,0.2457572123106328,0.3243288955425652,0.1905888184805054,0.4472062986789107,0.2826690374273348,0.1347347915292259,0.1286559018088918,0.215196980344647,0.2325462542786793,0.1456235731065582,0.2575430570595969,0.2096015268131233,0.1041684618961218,0.4295045179906948,0.0893416534751948,0.3863501057305288,0.0975388673182956,0.0868123401204986,0.2652155769864039,0.3818666169253,0.5978569279541007,0.1241037877442689,0.5143935623267714,0.2274916210577084,215654,1,Vim + GzmB
32,0.1633859921421768,0.168983439318454,0.1175518306939971,0.3084635390471321,0.3012150190020819,0.1908489226659377,0.1526934514359998,0.2737107111285659,0.2112493887349019,0.0818158228149022,0.1602746696548692,0.3315752219150626,0.1553796857506905,0.7753435913035344,0.1475465345603861,0.1160046137790035,0.0460899189638759,0.0496624295437232,0.243386465096793,0.1919824108217564,0.3616799581416022,0.0940759696814168,1.1608570465255623,0.1734507808254843,66876,9,CD366 + CD44
33,0.4569351471872416,0.3443087933174437,0.2242783651926252,0.3490141223183099,0.3143809222455454,0.1529395433548453,0.2165319087353645,0.2444015001085468,0.2636705036213704,0.1481251107683643,0.191531761194891,0.216126163750916,0.1812776149664957,0.7858537888444003,0.088439085044681,0.2034783517537293,0.0635949492301575,0.0623631795622074,0.2610459451527809,0.2334047063405882,0.291887918041271,0.1401159723891514,0.4213776474253195,0.1841838771384766,103219,31,CD4 + CD366
34,0.2308303798273326,0.2638516140392843,0.1597174910736486,0.3084400285557789,0.2868248819908325,0.138586771557717,0.1450768762585675,0.6157112120299512,0.2082657290798689,0.1028673244537893,0.3011478972075876,0.2992983639093081,0.1504116285754153,0.6962634913690979,0.0601542026711442,0.163488257208796,0.0538140645075852,0.0615259744602734,0.2328507847782671,0.2343388743136528,0.5362558688627495,0.0790969144102745,0.5446464845117363,0.1729392477107547,88615,9,CD366 + CD44
35,0.2154714503423724,0.3506964771806872,0.2210210330219422,0.2433202036955099,0.3308462466729693,0.3819459525536782,0.2638129994658456,0.8653281555477036,0.3236420391822887,0.1385297606817677,0.3142126084148355,0.213459734359808,0.3831189711107481,0.2293049757071181,0.1527708974786794,0.1793332311911897,0.1018298633820967,0.1480326052786756,0.1866066809238716,0.1790703190865019,0.1305438434577151,0.1132883232546974,0.1086194256844521,0.1995464354202124,113162,40,CD44
36,0.5974271011265221,0.4451086110486883,0.258927879182326,0.2760517240319551,0.2927293535221515,0.1737415641561666,0.3105792488172197,0.7911491593957694,0.3064854632906111,0.1456535479393957,0.2131284820618968,0.1417067645346179,0.2702316302702539,0.2924754515319124,0.1767050900028023,0.185383552268303,0.0983603381645492,0.0705173491286013,0.2189081609205596,0.229631651058972,0.1219025034891499,0.0776981209710401,0.0913302102227227,0.1678443765816482,114969,40,CD44
37,0.2769847314641382,0.2896920931729866,0.2271533043979297,0.2526630646581929,0.2949161029909668,0.3169043539599633,0.1680954018928288,0.2011438450853028,0.2038025946471944,0.2484218440279572,0.1926759113780653,0.6535981984027897,0.2630426171538026,0.2150553796296679,0.3960232207747777,0.2603895084513996,0.3316046528125099,0.0988048751325028,0.3317680365441092,0.2757317154848124,0.1438131445486832,0.1244728352042141,0.1042913889715593,0.1263100592241758,237585,12,CD163
38,0.0635209200102738,0.1055134571469557,0.0877314803325629,0.1801122639346802,0.230886318175015,0.2624341591924327,0.1258761038366569,0.05818833208645,0.1386628342899572,0.0758675145581633,0.0728990493599106,2.4945248930471275,0.1350411692222323,0.0648877989410676,0.6088390348008362,0.0728383662261258,0.0874841768299065,0.0524558608419833,0.250524365966684,0.1167937649554677,0.0606011798168167,0.0508472032506029,0.0518366716306176,0.0519769213800846,100592,38,CD107a
39,0.1737420824200095,0.3249993617471703,0.19799682342971,0.3168048647751995,0.3684125151274703,0.3314660118255874,0.2553858595990139,0.173098231389274,0.2668435680029192,0.2001361606874226,0.2111014859659772,0.9918011602917304,0.4833743251186302,0.1892191968385809,0.1223499621719368,0.2273980817026391,0.1354723164731813,0.108609578251233,0.1515940961527033,0.2666736017476342,0.0991802612822014,0.0859007855828807,0.0880344412964839,0.1187355365098661,80493,12,CD163
40,0.2397624346669546,0.293949822481223,0.1824093141673166,0.3154184685155448,0.6754925401301052,0.3517077384152323,0.1911441964176578,0.1727601947153773,0.4822467776738587,0.1409073567872312,0.2707801716486677,0.1655094931087452,1.119637610407087,0.2673886095147689,0.1470562376323919,0.1583124464534085,0.0523621554222893,0.0966700824610534,0.215423228026177,0.195804061556103,0.1720917665868547,0.0483798412866904,0.1046206908182288,0.127742604587685,65677,11,CD14 + CD16 + CD163
41,0.1856702509082968,0.228318894436119,0.1208698248414351,0.4502211685775353,0.2144180309085319,0.1077349537270482,0.0755142150504116,0.1736892616567738,0.1283040068047904,0.0829576832190105,0.1595303620157054,0.288668539390442,0.0926752032880295,0.5171802309685648,0.1246849055102128,0.2330833148558332,0.120927205629666,0.0578430147309415,0.6518635502339368,0.4607093358222349,0.3715580278372091,0.6841182719871343,0.3255437378211504,0.2309594035648112,107382,10,Vim + GzmB + aSMA
42,0.2080255040852449,0.2391808958479134,0.1856714822378119,0.3152656313959674,0.2420912963657433,0.1159401017941953,0.1414434993912825,0.600079116546735,0.178658148162333,0.1116739498044336,0.165448597001029,0.2705057999856418,0.101655181142144,0.5072508539776347,0.1256426763418925,0.2394198428725649,0.1681740662793038,0.0622712058199538,0.4330432315504182,0.3376326437968243,0.3143051063418543,0.439655497699068,0.2785262249685701,0.2155854765971999,80647,20,aSMA
43,0.246601754873624,0.2464218790697279,0.1870994541685663,0.2318331508094175,0.2037486667521636,0.1737909563343997,0.1805478616683856,0.159696220101443,0.1680018776657804,0.184683422778623,0.1276940281772764,0.1843896930492978,0.1694362009636913,0.240574081519401,0.7388834192389248,0.2236564612607816,0.2378247834434839,0.0907528086253504,0.361051421576852,0.2705784284651262,0.2050573866803378,0.7194745104923933,0.1834243101947924,0.2274515542830085,47272,26,ECad + aSMA
