item,label
140940,Memory B cells
140941,Regulatory T cells
140942,Regulatory T cells
140943,Memory B cells
140944,Regulatory T cells
140945,Regulatory T cells
140946,Regulatory T cells
140947,Regulatory T cells
140948,Regulatory T cells
140949,Memory B cells
140950,CI_Monocyte
140951,CD163n_Mac [M1]
140952,Regulatory T cells
140953,Regulatory T cells
140954,Regulatory T cells
140955,Regulatory T cells
140956,Regulatory T cells
140957,Regulatory T cells
140958,Regulatory T cells
140959,Regulatory T cells
140960,Regulatory T cells
140961,Regulatory T cells
140962,Regulatory T cells
140963,Regulatory T cells
140964,Neutrophil&monocyte
140965,Regulatory T cells
140966,Memory B cells
140967,Memory B cells
140968,Memory B cells
140969,Regulatory T cells
140970,Memory B cells
140971,Memory B cells
140972,Regulatory T cells
140973,Memory B cells
140974,Memory B cells
140975,Memory B cells
140976,Memory B cells
140977,Regulatory T cells
140978,CD163n_Mac [M1]
140979,Regulatory T cells
140980,Regulatory T cells
140981,Memory CD8 T cells
140982,CI_Monocyte
140983,Regulatory T cells
140984,Regulatory T cells
140985,Memory B cells
140986,Memory B cells
140987,Memory B cells
140988,Regulatory T cells
140989,Regulatory T cells
140990,Memory B cells
140991,Regulatory T cells
140992,Memory B cells
140993,Int_Monocyte
140994,Naive CD4 T cells
140995,CD163n_Mac [M1]
140996,Memory B cells
140997,Memory B cells
140998,Regulatory T cells
140999,Regulatory T cells
141000,Regulatory T cells
141001,Regulatory T cells
141002,Int_Monocyte
141003,Regulatory T cells
141004,Memory B cells
141005,Regulatory T cells
141006,Regulatory T cells
141007,Memory B cells
141008,Memory B cells
141009,Regulatory T cells
141010,Regulatory T cells
141011,Regulatory T cells
141012,Memory B cells
141013,Naive CD4 T cells
141014,Regulatory T cells
141015,Regulatory T cells
141016,Regulatory T cells
141017,Regulatory T cells
141018,Regulatory T cells
141019,Regulatory T cells
141020,Memory B cells
141021,Memory B cells
141022,Regulatory T cells
141023,Regulatory T cells
141024,Regulatory T cells
141025,Regulatory T cells
141026,Int_Monocyte
141027,Regulatory T cells
141028,Memory B cells
141029,Regulatory T cells
141030,Regulatory T cells
141031,Memory B cells
141032,Neutrophil&monocyte
141033,Memory B cells
141034,Memory B cells
141035,Regulatory T cells
141036,Memory B cells
141037,Regulatory T cells
141038,Regulatory T cells
141039,CI_Monocyte
141040,Regulatory T cells
141041,Memory B cells
141042,Memory B cells
141043,Memory B cells
141044,Regulatory T cells
141045,Memory B cells
141046,Regulatory T cells
141047,Regulatory T cells
141048,Regulatory T cells
141049,Regulatory T cells
141050,Int_Monocyte
141051,Regulatory T cells
141052,Memory B cells
141053,Regulatory T cells
141054,Regulatory T cells
141055,CD163n_Mac [M1]
141056,Int_Monocyte
141057,Regulatory T cells
141058,Memory B cells
141059,Regulatory T cells
141060,Regulatory T cells
141061,Regulatory T cells
141062,Regulatory T cells
141063,Regulatory T cells
141064,Memory B cells
141065,Regulatory T cells
141066,Memory B cells
141067,Regulatory T cells
141068,Naive CD4 T cells
141069,Regulatory T cells
141070,CD163n_Mac [M1]
141071,Memory B cells
141072,Regulatory T cells
141073,Memory B cells
141074,Regulatory T cells
141075,Memory B cells
141076,Regulatory T cells
141077,Regulatory T cells
141078,Regulatory T cells
141079,Naive B cells
141080,Memory B cells
141081,Memory B cells
141082,Regulatory T cells
141083,Regulatory T cells
141084,Regulatory T cells
141085,Memory B cells
141086,Regulatory T cells
141087,Regulatory T cells
141088,Regulatory T cells
141089,Regulatory T cells
141090,CI_Monocyte
141091,Regulatory T cells
141092,Memory B cells
141093,Regulatory T cells
141094,Regulatory T cells
141095,Memory B cells
141096,CI_Monocyte
141097,Regulatory T cells
141098,Naive CD4 T cells
141099,Memory B cells
141100,Regulatory T cells
141101,Regulatory T cells
141102,Regulatory T cells
141103,Regulatory T cells
141104,Regulatory T cells
141105,Regulatory T cells
141106,Regulatory T cells
141107,Regulatory T cells
141108,Regulatory T cells
141109,Regulatory T cells
141110,CD163p_Mac [M2]
141111,Regulatory T cells
141112,Regulatory T cells
141113,Regulatory T cells
141114,Memory B cells
141115,Regulatory T cells
141116,Regulatory T cells
141117,Regulatory T cells
141118,Regulatory T cells
141119,Regulatory T cells
141120,Regulatory T cells
141121,Regulatory T cells
141122,CD163n_Mac [M1]
141123,Regulatory T cells
141124,Regulatory T cells
141125,Regulatory T cells
141126,Regulatory T cells
141127,Regulatory T cells
141128,Regulatory T cells
141129,Regulatory T cells
141130,Regulatory T cells
141131,Regulatory T cells
141132,Memory B cells
141133,Memory B cells
141134,Regulatory T cells
141135,Neutrophil&monocyte
141136,Neutrophil&monocyte
141137,Neutrophil&monocyte
