cell_som_cluster,pixel_meta_cluster_rename_B7H4,pixel_meta_cluster_rename_BetaCat,pixel_meta_cluster_rename_CD107a,pixel_meta_cluster_rename_CD11b,pixel_meta_cluster_rename_CD14 + CD16 + CD163,pixel_meta_cluster_rename_CD16,pixel_meta_cluster_rename_CD163,pixel_meta_cluster_rename_CD20,pixel_meta_cluster_rename_CD3,pixel_meta_cluster_rename_CD31,pixel_meta_cluster_rename_CD31 + GzmB*,pixel_meta_cluster_rename_CD366 + CD44,pixel_meta_cluster_rename_CD366 + GzmB,pixel_meta_cluster_rename_CD4 + CD3,pixel_meta_cluster_rename_CD4 + CD366,pixel_meta_cluster_rename_CD4 + CD45RO,pixel_meta_cluster_rename_CD44,pixel_meta_cluster_rename_CD45,pixel_meta_cluster_rename_CD45RO,pixel_meta_cluster_rename_CD68,pixel_meta_cluster_rename_CD68 + CD11b + CD45 + CD45RO + GzmB,pixel_meta_cluster_rename_CD8 + Ecad,pixel_meta_cluster_rename_CD8a,pixel_meta_cluster_rename_CD8a + ECad*,pixel_meta_cluster_rename_ECad,pixel_meta_cluster_rename_ECad + B7H4 + BetaCat + PanCK,pixel_meta_cluster_rename_ECad + aSMA,pixel_meta_cluster_rename_ECad*,pixel_meta_cluster_rename_FoxP3,pixel_meta_cluster_rename_FoxP3 + ECad + PanCK,pixel_meta_cluster_rename_HLA,pixel_meta_cluster_rename_HLA + CD4,pixel_meta_cluster_rename_HLA + CD68,pixel_meta_cluster_rename_HLA + Ecad,pixel_meta_cluster_rename_PanCK + CD20,pixel_meta_cluster_rename_Vim + GzmB,pixel_meta_cluster_rename_Vim + GzmB + CD31 + aSMA,pixel_meta_cluster_rename_Vim + GzmB + aSMA,pixel_meta_cluster_rename_aSMA,pixel_meta_cluster_rename_aSMA + Vim,count,cell_meta_cluster,cell_meta_cluster_rename
11,0.0002506871540511,0.0001703805626122,1.7815943487827256e-06,0.0014093504486749,0.0085976957585199,0.0121859394006713,0.0015010724734805,0.0007186059334383,0.0011774120945344,0.0052768735243936,0.01840320978189,0.0017416117618943,0.0003570412987294,0.0064107652885752,0.0007932063006509,0.0177087717025052,0.0009836567241102,0.0004369907511625,0.0022658976726422,0.0711071396103386,0.0015119090023904,0.0007243814883002,0.0092660263662726,0.0121822407570373,0.0003277576760518,0.0001940360214812,0.0013300857813692,0.0022358938873577,0.0058572356729055,0.0009981988542279,0.0241078067444684,0.4174530411380469,0.024316668597874,0.0010704932371082,0.0001618023762815,0.0194179373436267,0.0097936351573384,0.0157937143363279,0.0142614506260675,0.2935440310354184,7105,2,Fibroblast
12,0.0001961955871116,0.0002292834705667,0.0,0.0014827474777075,0.0082494246645859,0.0145025479987593,0.0016920070433899,0.0005159093102608,0.0012954339791083,0.0062620330954396,0.0170445689765774,0.0031374033168266,0.0003456375198695,0.0067135960489127,0.0007619470718546,0.0143518597792487,0.0012993954324688,0.0004102673495227,0.0021394341214492,0.0377170761404505,0.0017535420010516,0.0005809983405139,0.010080323327685,0.0106086340818473,0.0002231901440547,0.000325698497434,0.0009857949674176,0.002505576289725,0.007011055958088,0.0007306280984731,0.0203266793134446,0.5950047747259491,0.0226991353796328,0.0009956936198098,9.61054444086417e-05,0.0197173836304983,0.0098583696454286,0.0109838065845648,0.0090618594681257,0.1644028674865338,5094,2,Fibroblast
13,0.0001974624780114,4.288108073360603e-05,1.4294965900124649e-06,0.0006733135819107,0.0039495021653986,0.0033945306654926,0.0007171430012986,0.000355270963951,0.0017698983324868,0.0013539427654937,0.0066292499117503,0.0006692700861397,1.9221921407854032e-05,0.0031185952694998,0.0001581369941877,0.0092420558567105,0.0007007673533883,0.0002512346527539,0.0003825416635646,0.0232275993119886,0.0014352894944552,0.0002119190062977,0.0094631694067578,0.0034244656471198,3.289421612833795e-05,3.660289854776505e-05,1.4962784442869548e-05,0.0015677486121407,0.0019367420435118,0.0001969464572946,0.0191628747159833,0.8785544683899367,0.0183874042848159,0.0017826343913448,5.117877145737484e-05,0.0025476831833057,0.0001795926504299,0.0001481852731954,0.0001454920433667,0.0054344537665482,20949,6,Antigen presenting cell
14,0.0001911096040997,2.046016567884064e-05,5.981190073051372e-06,0.0004957589816954,0.0031002637705845,0.0034343535447682,0.0007292766413642,0.000434583560767,0.0021466881189314,0.0010584521434159,0.0103059978314587,0.000629336861131,3.168491834518144e-05,0.0027560052684373,0.0001248865057235,0.0106517517284492,0.0006045101684744,8.616990172520829e-05,0.0005722256029656,0.1700068877984042,0.0013640234480849,0.0001316660607163,0.0176967529878977,0.0054182304327596,4.289608662739058e-05,5.0773727507967e-05,4.036556700673037e-05,0.0010213702128731,0.0014240141556417,0.0002637710445182,0.0256076143100993,0.7009773092595813,0.0234458907021441,0.001023871236099,3.768859788903797e-05,0.0054291584741797,0.0003131953441862,0.0003427878605246,0.0002176586293165,0.0093399761987516,13285,6,Antigen presenting cell
15,0.0002088186698363,2.278583400102748e-05,3.027490216665365e-07,0.0004783159078901,0.0033101367954682,0.0033397924585698,0.0006248248310064,0.000498069722623,0.0024290865766177,0.0009773792680109,0.0098309091525365,0.0006475325683943,2.507571144505773e-05,0.0026129820908967,0.0001061058794989,0.0091455375528587,0.0006486949591284,8.968244144522742e-05,0.0006757943882773,0.3127161706422825,0.0015529764611533,0.0001451250987985,0.0146605411907834,0.0064186698400277,5.183203296183466e-05,4.785784168469065e-05,2.503568757678888e-05,0.0010118247756075,0.0011922447190908,0.0002541281888856,0.0251521688720024,0.5523469831698877,0.0341034753729674,0.0009000778882919,4.099233685821643e-05,0.0062952576718502,0.0003403014004818,0.0003038267661985,0.0003030929716144,0.0080210817177416,14946,6,Antigen presenting cell
16,0.0005908205477142,6.727579084395297e-05,9.141432134396736e-07,0.0005701430377101,0.0021606456546646,0.0051383263612577,0.0011388668711259,0.0005726291437303,0.0016534648163609,0.0013437205795753,0.0161395545328584,0.0008948729646894,0.0001162403283362,0.0020935597641055,0.0001194759735422,0.010999871092301,0.0009848292487462,0.0001253310843576,0.0018554210128035,0.2803796434393237,0.0024539044966593,0.0012351795398844,0.0219785467831619,0.0145496789743808,0.0007279360295259,0.000841578267395,0.001166569920646,0.003474129551568,0.002516973076656,0.0011024320472096,0.2124279728165236,0.3568335608870746,0.0219906749714298,0.0084674935862628,0.0001212788752795,0.011731675877363,0.0006313417857097,0.0008137089415265,0.0004035165295207,0.0122896814500628,11158,6,Antigen presenting cell
17,0.0002851487033094,1.6679714784500005e-05,7.290621122414946e-06,0.0006018555712723,0.003261618557622,0.0045062221793202,0.0009872233080251,0.0006412413308589,0.0035091834228755,0.0009762437648424,0.0112732014334689,0.0008801512843328,1.005072260866016e-05,0.0029724565007015,0.0001113603961184,0.007364574255901,0.0009371686899731,7.199890280041132e-05,0.0009598551376947,0.4542168604016742,0.001938680973227,0.0001751825381637,0.0235472061349331,0.008583449135314,6.050331247451175e-05,8.143083583456761e-05,8.825326421778477e-05,0.0010642597218058,0.0012702257794754,0.0002360204850925,0.025869482135125,0.4024331640089287,0.0226255310619535,0.001005777376996,2.4929590298451858e-05,0.0077690384066757,0.0004154159578466,0.0005391567983317,0.0003424137801342,0.010234955611385,15927,6,Antigen presenting cell
18,0.0001979749443832,6.74071430809197e-06,1.555851495710408e-06,0.0003162616558998,0.0024832408419546,0.0030302403432763,0.0007232151092441,0.000749071112226,0.0028514331142365,0.0007047328816751,0.0074169949265724,0.0006154807712466,1.0427154003935428e-05,0.0020079380598792,6.266235510691653e-05,0.0037652937447168,0.0005369755386783,5.71074151354688e-05,0.0006234939657553,0.6004259984533429,0.0016510369069844,9.9348397461447e-05,0.0145408691358884,0.0059282009226303,1.9242151540848195e-05,1.3146066577092224e-05,4.210913701547159e-05,0.0007053085800209,0.0008666160880543,0.0001578757214156,0.0186403833806458,0.2840610791157277,0.030022379614385,0.0005841981928137,9.794559420497417e-06,0.00657033587719,0.0003017317848294,0.0004340798087034,0.0002663477934629,0.0098128294328147,14571,6,Antigen presenting cell
19,0.0002178335254791,2.2660403567181294e-05,2.2376125514909707e-06,0.0003643083755535,0.0019728240312612,0.002977584745071,0.0007514038205558,0.0007702410463598,0.0031641150522778,0.0005213019235776,0.0073252127620197,0.000691729596241,1.9070823371786505e-05,0.0017321738795046,6.696297322866972e-05,0.0020192949741144,0.0005800845167089,2.874367742907044e-05,0.0006899517481999,0.7538633647669432,0.0018655411456046,0.000122225741313,0.0148945381262516,0.0059886500553378,4.082672932143878e-05,2.893373671353663e-05,3.666042502362292e-05,0.0006243350942414,0.0006224259374852,0.0001802998733871,0.0131177288039205,0.1503899984123956,0.0176579957989772,0.0005268152104575,1.730839315318237e-05,0.0077127726893878,0.0003336193009226,0.0003597427488184,0.0003355773621487,0.0086649557883073,14594,8,Macrophage
20,0.0005505543345166,9.0231716469083e-06,9.036148018799669e-06,0.0001727618022972,0.0009662969478665,0.0014614460299563,0.000506955538213,0.000584587471555,0.0014528647832037,0.0001308792635999,0.0027993948762326,0.00044452909548,1.708053058714601e-05,0.0006711405997611,4.089885048215927e-05,0.000466316856684,0.0006692040362636,5.0191516531093296e-05,0.0002432087115519,0.9232209284274412,0.0014956415409306,0.0001248578122082,0.0071183709680267,0.0048971485476204,3.73172602598785e-05,2.323418314458029e-05,1.1732147452096655e-05,0.0004314174387016,0.0001961737000663,7.052706544457216e-05,0.0095688213890414,0.0199168382536183,0.0093550208877762,0.0002566794900333,8.238054161333198e-05,0.0055030329270313,0.0001188743895369,0.0001490515297643,0.00022394166126,0.0065708512803089,24379,8,Macrophage
21,0.0013645198479817,0.0001214709515365,0.0,0.0004156781217472,1.1341172083152744e-05,0.0004970751579328,0.0003939015444554,4.171378736624382e-05,0.0002319273229695,0.0010253499548351,0.0038854240039887,7.446124793134814e-05,0.0001810404168446,0.0005594131177378,5.250077289294301e-05,0.0035171813116799,0.0006868148035135,4.214700508035124e-06,0.03333995702224,0.0008913049046165,0.0007822704448257,0.0237309877460734,0.0092573072213464,0.006814702997581,0.0208799713877728,0.0307102224878726,0.0075748753481278,0.0023586040675238,0.0075858190293575,0.023236785585418,0.0137008437393867,0.0029529074499214,0.0002551742899881,0.8144658285201997,0.000108680703809,0.0023309870495871,0.0002285229181749,0.0004674219358811,0.0001987445982285,0.00113304140075,24633,6,Antigen presenting cell
22,0.0050001929864245,0.000316394333146,5.003416902505394e-05,0.0011557377975764,0.0001282519767842,0.0020619496527164,0.0010316319109116,0.00017250229883,0.0007871159020361,0.0027503979447191,0.0143354161621703,0.0002388553055139,0.0004414119088939,0.0022338428829404,0.0002071066489069,0.0150595589396588,0.0020683891378301,8.561200267388373e-05,0.018711058747713,0.0060637914354298,0.0041091399163935,0.021145696515651,0.0302903760441512,0.0266906871837283,0.0370127673970483,0.0229491532680627,0.0137905955271365,0.0083950774891948,0.0152695431011273,0.0213269277899411,0.0525861345580926,0.0107909974342472,0.0013848873506781,0.6564851576824765,0.0003402764001866,0.0084485807486395,0.0012054927988098,0.0019865205745559,0.0009085001563675,0.0064824112475875,19307,6,Antigen presenting cell
23,0.0049463183304739,0.000356120608091,3.708048756896226e-05,0.002755372047079,0.000392126301969,0.0048295782316409,0.0013457878019955,0.0003216959177116,0.0011826269701905,0.0043263966966651,0.0338551301446108,0.0004519614657853,0.0011892165339913,0.0024552291089044,0.0003707725410717,0.0318713474470007,0.0025801421865486,0.0001438164746466,0.0242908877659213,0.0178612288732235,0.01048268313554,0.0330519727894928,0.0256196138022834,0.0301651806552996,0.0236922248384904,0.0226633660760903,0.011960292931912,0.0169099064548644,0.013422528384579,0.0131924783975932,0.1279248502088081,0.0182624624171869,0.0037603968962571,0.4820664847087664,0.0003794138511738,0.0203990917012278,0.0035354474609345,0.004670125528256,0.0018164461090617,0.0139214716297164,15546,6,Antigen presenting cell
24,0.0017014648159265,0.0002424814589797,4.769601664774856e-05,0.00222737388441,0.0003554601203396,0.0060472306197992,0.0011613240360443,0.000214186125664,0.0003599243597287,0.0027420810104687,0.0221859943048171,0.0003887578958189,0.000536089201801,0.0009013283944939,0.0002202304634549,0.0199412583480521,0.001430619515204,0.0001274247336079,0.0258615766912911,0.0227895048870886,0.0043184224295957,0.0302716838683368,0.029484921669694,0.0490232847340901,0.0229674426277385,0.0209714109288501,0.0174252760556074,0.0171277657483441,0.008533096343553,0.0155966518142342,0.2885963089465507,0.0158141476861304,0.004576426306696,0.3479469655053158,0.0002949669246909,0.0147739752468517,0.0018175379714332,0.0016396293648538,0.0007075367817875,0.0122005337190794,17905,6,Antigen presenting cell
25,0.003217957221515,0.000454202084833,0.0002289550909015,0.0028339852688352,0.0020376070853329,0.0085161873448089,0.0020808136769752,0.0008630448891728,0.001278394258087,0.0060126118055994,0.0289970331004934,0.0014263513349288,0.0014836509815114,0.002895025560686,0.0005680774637342,0.019035697990907,0.0031638071055224,0.0002966840420053,0.0153084162530627,0.0508917139501669,0.0050065822256856,0.0181884829626267,0.0146546170258263,0.0275083058049336,0.0112786621703292,0.0134066561873246,0.0079868969056295,0.0183900361243444,0.0121120526427858,0.0167589623069902,0.3184071059914954,0.1305180990963358,0.0167913183944366,0.2057332736941674,0.0008304492695044,0.0227552220809504,0.0039674580489036,0.0026691502562433,0.0012433224762212,0.0135318502916137,8201,6,Antigen presenting cell
26,0.0005864806945929,0.0003417324301417,6.805005793254525e-05,0.0012089101422914,0.0017373701397419,0.0087944309667627,0.0018692418614052,0.0010118711506807,0.0010181587518588,0.0034782629469601,0.0272476222670073,0.0017073119071145,0.00118332677862,0.0023500554595305,0.0004684903261721,0.0179898688520869,0.0015013003608158,0.0001296863698109,0.0054867582408824,0.0635127039408123,0.0031500941770915,0.0077042511133918,0.022390881190813,0.071531370291526,0.0025528947320708,0.0030370134285708,0.0217529471224249,0.0081022046441024,0.0043491128168825,0.0035911699230604,0.2981103588949482,0.0448833183156984,0.0077373898324697,0.0213941233605866,0.0003163333467933,0.0420650880124934,0.0136269959723715,0.0167898024010323,0.011977587403351,0.2600879188561664,11841,2,Fibroblast
27,0.0005110250957724,0.0004215534044668,1.9061669869689408e-05,0.0016500003969737,0.0065486635734486,0.0068184036185623,0.0046692854354189,0.0020540403519143,0.0023934977516004,0.008844118769408,0.0188265572841123,0.0037953406963272,0.0017214004477278,0.01820993653046,0.0030949479340853,0.0182903765808076,0.0010932141572443,0.0004885885999425,0.0186678031379439,0.0250416722907108,0.002305575385501,0.007263423100392,0.0183894591564799,0.0167120826612253,0.001036557304166,0.0015093371807602,0.0113718075859875,0.0026254572143189,0.0094036178024606,0.0016581382296575,0.0072637681786822,0.0195215192560463,0.0075069608111701,0.0029752833240343,0.0001823502351774,0.0383226188163244,0.0607879224635071,0.0694754025547239,0.0256504380822498,0.5653753139614959,13812,2,Fibroblast
